customer_id,age,annual_income,account_balance,credit_score,num_products,tenure_months,monthly_transactions,avg_transaction_amount,loan_amount,savings_account,credit_card
91,32,65641.68369412515,6602.78157819224,431,2,33,43,10.0,0,1,1
92,25,28571.061089592935,9006.073545559779,341,3,16,35,500.2605653795203,5000,1,1
93,31,23227.687548472193,0.0,388,1,109,86,184.19121118440106,5000,1,1
94,40,62061.81038107963,9742.449783192389,701,2,42,6,467.1243819449964,50000,1,0
95,74,44413.430366853725,7408.673384463021,595,3,108,82,10.0,0,1,0
96,57,67850.01235230229,16503.937864762076,594,1,66,81,114.08473631772112,10000,1,1
97,38,61830.94061433862,18417.559757771596,825,1,55,97,320.0747362648959,5000,1,1
98,33,48179.27718357818,33761.708392158864,721,2,99,16,226.8911906640026,5000,0,1
99,62,28830.157048289875,24504.2383818605,322,5,42,43,279.9289839220188,10000,1,1
100,35,15000.0,9230.96344337597,442,1,34,70,11.928764931011443,10000,0,1
101,64,38837.12619832448,6015.85328651642,444,1,30,17,406.5205239318394,50000,1,0
102,70,71409.96985808681,37340.606365400046,650,3,119,50,316.55241436359336,0,1,1
103,41,55352.343603255096,1797.6679297935789,802,4,13,31,260.243825823721,0,1,0
104,43,18856.5305322003,33314.58765854353,403,2,13,21,97.15845783772883,10000,0,1
105,42,54329.52314627955,26794.401207212868,338,2,18,99,248.5700191408918,5000,0,1
106,62,59632.93449322092,10308.24347895295,497,5,32,64,156.27650315097645,0,1,1
107,58,27903.564094971676,0.0,690,5,96,68,10.0,0,0,0
108,46,53843.1276486382,28538.72374165413,478,2,99,92,192.43657224177684,0,0,0
109,32,51455.217961149996,13854.601547473821,747,5,39,39,176.49044026662114,25000,0,1
110,62,21425.742554234424,27378.163119734618,799,3,46,74,359.360226481268,0,1,1
111,18,58944.68400870708,0.0,314,2,36,87,10.0,0,1,1
112,42,64019.61315920586,9006.249770462271,588,5,29,34,235.27997432820516,0,1,1
113,24,77076.28107938192,36542.34817906909,777,2,36,75,26.664792784142406,0,0,1
114,26,76345.05130087258,39274.32965343196,650,4,36,78,247.88350132933198,0,1,1
115,41,15558.265801072725,10499.345285207564,719,1,93,67,256.1420083365959,5000,1,1
116,18,26554.37400212193,21228.499323474985,456,2,36,32,186.97328343047124,0,1,1
117,61,62875.881680216495,4323.795706174056,849,1,117,64,321.09396872166263,25000,0,1
118,25,62844.648772805216,13576.205149787065,740,5,36,83,13.135091135045144,0,0,0
119,41,62876.192157651196,16202.95631711899,396,1,57,98,366.158067542255,5000,0,1
120,28,146318.28726636805,39146.74497394045,710,2,16,41,93.78817007087879,25000,1,0
121,68,64272.26276732917,22116.1487808889,588,4,56,97,10.0,10000,1,0
122,34,78389.14100451497,17937.631776353115,650,5,108,26,159.14060442502864,5000,0,1
123,25,73850.04408733005,16320.98042478585,650,2,36,72,10.0,0,0,0
124,52,66284.78128264495,27776.76821898509,821,5,10,24,238.12608383693032,0,0,1
125,52,42118.26888399136,18323.140119795917,816,3,30,72,161.11243361296616,10000,1,1
126,50,68974.23051233169,7515.134634434464,417,1,25,95,385.0530382064054,50000,0,1
127,22,30679.369636560707,30511.51975522523,458,3,36,68,297.33863157604935,10000,1,1
128,59,44079.534831499775,16156.746342928587,527,2,84,21,10.0,5000,1,0
129,56,37865.91130427241,26792.971840638264,515,4,5,16,74.24187633231722,10000,1,1
130,58,52046.853484658066,15675.184814101089,314,5,65,26,278.09966308013134,5000,0,1
131,45,107866.46416683772,56625.839673285365,650,1,94,21,327.0618514977552,0,0,1
132,24,15000.0,32553.408424432044,560,5,36,14,383.3751372330321,5000,1,1
133,26,67156.50475936284,12510.358515209266,456,2,3,69,382.1763927958022,50000,1,0
134,25,15000.0,24715.709509543554,346,5,36,26,186.57160846281417,0,1,1
135,29,38201.703355264166,21453.759495851475,623,1,14,94,254.39834333767533,10000,1,1
136,51,77223.76492418416,49643.92039465331,650,2,30,86,394.8107755915695,0,0,1
137,50,51607.000477386566,5350.765394198956,710,5,114,54,154.50373070960774,5000,1,1
138,65,23056.380551767346,21860.514599984395,394,4,68,18,256.95892804101857,0,1,1
139,72,32117.407268500796,25584.24486849588,591,2,18,68,150.96788304805227,5000,0,1
140,40,66989.9437233669,0.0,582,2,62,51,117.35778283018593,10000,1,0
141,41,31740.834207071584,3167.41487334225,368,4,37,33,207.25776774287053,0,1,1
142,54,55411.464739549374,0.0,310,3,25,80,96.8684822990613,10000,1,1
143,52,51139.29599759534,12305.931655554423,553,1,48,40,180.36260408453762,10000,1,1
144,61,33709.99130985457,22175.422557959624,849,3,65,56,44.756770320180095,25000,1,1
145,57,103598.60223313313,51229.761209237025,650,5,53,80,171.50084192264308,0,1,1
146,39,65847.97555795028,15740.947804197753,322,4,110,11,267.2585440423792,0,0,0
147,44,15000.0,31286.15545571292,645,3,79,33,111.68546956898064,0,1,0
148,52,54661.35786923569,1198.9854178510868,601,2,73,15,201.3937628796369,50000,1,1
149,18,33455.3383807903,0.0,662,5,15,37,220.90138904318965,25000,0,1
150,52,71310.8333699056,37050.999464012595,695,5,49,10,267.8802337732002,5000,1,1
151,54,30186.981539182485,18840.654489393073,517,3,88,83,179.96302380421764,25000,1,1
152,64,47131.58896332752,14673.052519059069,440,3,68,36,362.87995128017087,5000,1,1
153,31,62624.681974511426,0.0,509,4,12,55,10.0,10000,1,0
154,20,71643.87985425304,34137.852397584364,759,1,36,79,640.662927075166,0,1,1
155,18,19992.589823605595,1955.304994951468,655,3,36,62,69.32993539437248,10000,0,1
156,22,41637.46910397629,21696.725488300384,623,3,36,91,260.5085035031116,0,0,0
157,43,38126.3672209761,18665.982460968484,432,2,101,30,59.22981346912272,25000,0,1
158,72,33666.769185657206,5601.202136726448,426,5,43,50,296.64022392639527,10000,1,1
159,31,94136.35600702743,31186.611050834625,650,1,70,33,241.48537288923916,10000,1,0
160,56,60124.54277402389,4407.864781110484,677,2,39,8,102.39296939823657,0,0,1
161,44,18477.90114162387,14373.209027268282,350,4,56,85,360.96310181154695,0,1,1
162,26,72946.5486763694,44326.28909086805,650,4,36,17,175.40586805971182,0,1,0
163,32,103053.90492531583,30886.406951291756,761,3,46,43,282.0823907085506,0,1,1
164,32,75811.63151377867,47202.17531126595,650,3,88,19,62.426029220594614,0,1,1
165,43,15000.0,9697.423816275592,596,4,11,33,195.366854664263,25000,0,1
166,59,37894.14817834372,7071.271677376558,706,3,62,33,500.5110900773157,5000,1,1
167,30,81672.77872966557,27984.63998855425,704,1,77,79,344.4448293671195,0,1,1
168,68,32308.26335953048,4647.576775806259,645,3,98,36,246.14311331765776,0,1,1
169,49,61095.48570365571,9463.50694652818,719,5,25,6,132.6618758585306,5000,1,1
170,56,69365.85133573342,3021.221074111516,481,3,71,51,210.12478038125133,10000,1,0
171,66,26826.738210547926,34647.25132916389,300,2,52,82,229.63489852585732,5000,1,1
172,69,48511.866098455,15352.635519717285,670,1,4,88,267.3842652379618,25000,0,1
173,49,15000.0,8002.744920074144,730,2,59,26,38.50092377335014,5000,1,1
174,21,24390.308966642755,17139.79910734222,608,2,36,79,300.26119414135474,50000,1,0
175,47,43685.796215170994,13876.719503091703,436,5,20,31,36.561035255802096,25000,1,1
176,54,18805.420450878762,12790.30400466777,501,1,93,71,444.6688778422808,0,0,1
177,40,90810.28259829088,39865.40728992299,735,1,63,85,84.25575163746824,25000,0,1
178,56,15000.0,22575.077100473052,612,1,54,60,244.49424795142633,0,0,0
179,62,38998.887832575405,9694.988523894724,416,1,117,96,350.7713859917027,25000,1,1
180,32,53268.51443215228,9241.8175935532,543,1,115,97,162.14299348033254,0,1,1
181,60,86031.83222665288,32413.105486187098,836,5,109,25,251.09000286497877,25000,0,1
182,46,15000.0,0.0,374,3,110,51,415.27723237850773,25000,1,1
183,53,79079.09380387398,18665.426439928397,685,2,74,84,284.66044818398996,25000,1,1
184,30,50255.826525489676,28668.742674445246,509,1,107,63,253.33259445115291,10000,1,1
185,49,25462.283723801225,31449.677135012837,774,3,98,88,10.0,0,1,1
186,24,61552.586856581765,12509.639604436217,717,3,36,10,59.94166208896661,0,1,1
187,68,54976.49238933675,20765.569630557664,646,2,90,23,357.0380191475018,5000,1,1
188,39,34994.57807103013,18112.50154543536,828,5,41,61,285.49254580120737,0,0,1
189,45,51745.05212475047,45788.80808455238,478,4,113,73,308.2199410677611,10000,1,1
190,19,40367.16007845599,26195.749114345766,481,4,3,7,295.3095398322346,0,1,0
191,59,52837.9336312812,13720.824085192335,324,3,6,5,393.4634792563061,50000,1,0
192,62,66553.26686302616,5444.595593995742,479,2,5,62,160.7900112567316,10000,1,1
193,74,89650.4204036338,28964.612956654368,800,4,5,42,218.07499381839514,25000,1,1
194,70,19054.612529328773,17034.63635867223,460,3,54,19,45.6988500306374,0,0,1
195,23,103325.83436640666,28556.26893760564,650,5,36,38,10.0,25000,1,1
196,45,15000.0,777.4629040232576,584,4,87,65,10.0,25000,0,0
197,45,46205.372624110416,8534.271157574734,362,3,49,39,67.22547515002285,5000,0,1
198,61,64707.93016211441,4184.51996385605,455,3,9,68,432.8842723234463,10000,1,1
199,61,57024.796693375814,31871.41635072565,768,1,99,29,10.0,10000,1,1
200,37,34432.51200448516,23816.397569494504,348,5,20,28,154.46960216342032,0,0,1
